,Name,Score,Location,Category,Rating,Price,Review_count,business_id
170,mohawk bend,96.0,"2141 W Sunset Blvd,Los Angeles, CA 90026",gastropubs,4.0,2.0,2456,NffHWFzlhlsPvl06guR2gQ
171,yang ban sul lung tang,91.0,"1515 Maple Ave,Los Angeles, CA 90015",korean,4.5,1.0,196,svK6WXwRnTSORVkB33o3KA
172,casa la doña,99.0,"800 S Main St,Los Angeles, CA 90014",mexican,4.5,1.0,699,5o_XEyhLrgpB6Cmeqp9NGg
173,holy basil,98.0,"718 S Los Angeles St,Unit A,Los Angeles, CA 90014",thai,4.5,2.0,179,gX802b6PyS51OjFrXacWfA
174,poppy + rose,95.0,"765 Wall St,Los Angeles, CA 90014",breakfast_brunch,4.0,2.0,2796,NlT-6hFP0_6hPo36AW2lIA
175,city club restaurant,94.0,"1029 S Santa Fe Ave,Los Angeles, CA 90021",divebars,4.0,1.0,19,4Ci1Go2yuau36vRnwBqEkw
176,eat drink americano,97.0,"923 E 3rd St,Los Angeles, CA 90013",newamerican,4.0,2.0,809,ECDeXJtkl5umk8_CZp7hkw
177,little jewel of new orleans,94.0,"207 Ord St,Los Angeles, CA 90012",delis,4.0,2.0,1860,e8yeADAtTGRyzkOLG5iKSg
178,manuela,98.0,"907 E 3rd St,Los Angeles, CA 90013",newamerican,4.0,2.0,1338,qA9Dqezi-kqbIBtM3c07Ew
179,mendocino farms,97.0,"444 S Flower St,Los Angeles, CA 90071",sandwiches,4.5,2.0,779,6wgMAoxi3CMiX0yrUO_g_Q
180,mendocino farms,97.0,"300 S Grand Ave,Los Angeles, CA 90071",sandwiches,4.0,2.0,587,p--FkpK0aMeXKoMHVp1dQw
181,birdies,93.0,"314 W Olympic Blvd,Los Angeles, CA 90015",donuts,4.0,2.0,2070,eXZyAF5Xk1u-d9vnkeNPXg
182,langer's delicatessen,96.0,"704 S Alvarado St,Los Angeles, CA 90057",delis,4.5,2.0,4050,qCJ2LFfNbXYBIcjXNva1cA
